item_id,item_type,tier,stat_requirement_json,effect_json
item_herb_bundle,quest_object,1,"{""Разум"":1}","{""use"":""potion_discount"",""description"":""Пучок трав для зельеварения и дешевой награды PvE.""}"
item_silver_dust,quest_object,2,"{""Разум"":2}","{""use"":""monster_bonus"",""scene_types"":[""monster_hunt""],""modifier_stat"":""Сила"",""modifier"":2,""description"":""Серебряная пыль для охотничьих сцен и заказов.""}"
item_monster_trophy,trophy,3,"{}","{""use"":""lord_influence_claim"",""description"":""Доказательство охоты для лорда или NPC-сделки.""}"
item_ancient_relic,plot_key,4,"{""Разум"":4}","{""use"":""final_evidence"",""description"":""Древняя реликвия для редкой PvE-награды и финального evidence.""}"
item_beast_fang,trophy,2,"{}","{""use"":""order_completion_proof"",""scene_types"":[""monster_hunt""],""description"":""Трофей для заказов на чудовищ.""}"
item_curse_mark,trophy,3,"{}","{""use"":""reputation_evidence"",""description"":""След проклятия: сильное доказательство для мастера/NPC.""}"
item_order_seal,order_token,2,"{}","{""use"":""order_completion_proof"",""description"":""Печать, подтверждающая выполнение заказа.""}"
item_tax_list,quest_object,1,"{}","{""use"":""lord_income_claim"",""description"":""Список податей для лордской сделки или заказа.""}"
item_secret_writ,quest_object,2,"{}","{""use"":""hidden_information"",""description"":""Тайная грамота: открывает переговорный или финальный аргумент.""}"
item_cache_key,quest_object,2,"{}","{""use"":""unlock_order_object"",""description"":""Ключ к тайнику или объекту заказа.""}"
item_debt_note,quest_object,2,"{}","{""use"":""npc_deal_evidence"",""description"":""Долговая расписка для сделки, давления или финального evidence.""}"
item_infantry_writ,strategic,1,"{}","{""use"":""lord_unit_support"",""army_unit_hint"":""infantry"",""description"":""Разовая поддержка лорда: пехотная грамота.""}"
item_guard_contract,strategic,1,"{}","{""use"":""lord_unit_support"",""army_unit_hint"":""guard"",""description"":""Разовая поддержка лорда: контракт стражи.""}"
item_cavalry_writ,strategic,2,"{}","{""use"":""lord_unit_support"",""army_unit_hint"":""cavalry"",""description"":""Разовая поддержка лорда: кавалерийский вексель.""}"
item_siege_scheme,strategic,3,"{}","{""use"":""lord_unit_support"",""army_unit_hint"":""heavy_siege"",""description"":""Разовая поддержка лорда: осадная схема.""}"
item_secret_passage_map,strategic,3,"{}","{""use"":""lord_route_evidence"",""description"":""Карта тайного прохода как аргумент для рейда, заказа или финала.""}"
item_betrayal_proof,strategic,3,"{}","{""use"":""political_evidence"",""description"":""Доказательство измены: сильный политический и финальный предмет.""}"
item_gwent_marker,pvp_stake,1,"{}","{""use"":""gwent_stake_marker""}"
item_final_token,final_evidence,3,"{}","{""use"":""final_summary_input"",""description"":""Финальный жетон: видимый аргумент для итоговой сводки.""}"
